taxon_id,scientific_name,common_name_original,common_name_model,taxonomy_class,generic_label,grounding_dino_prompt,qwen_label,yolo_open_vocab_label,aliases
36142,Sceloporus undulatus,Eastern Fence Lizard,eastern fence lizard,Reptilia,reptile,eastern fence lizard. reptile.,eastern fence lizard,eastern fence lizard,eastern fence lizard|reptile
68492,Hemidactylus mabouia,Tropical House Gecko,tropical house gecko,Reptilia,reptile,tropical house gecko. reptile.,tropical house gecko,tropical house gecko,tropical house gecko|reptile
59644,Pantherophis alleghaniensis,Eastern Ratsnake,eastern ratsnake,Reptilia,reptile,eastern ratsnake. reptile.,eastern ratsnake,eastern ratsnake,eastern ratsnake|reptile
337045,Podarcis siculus,Italian Wall Lizard,italian wall lizard,Reptilia,reptile,italian wall lizard. reptile.,italian wall lizard,italian wall lizard,italian wall lizard|reptile
912622,Agkistrodon contortrix,Eastern Copperhead,eastern copperhead,Reptilia,reptile,eastern copperhead. reptile.,eastern copperhead,eastern copperhead,eastern copperhead|reptile
67642,Pantherophis spiloides,Gray Ratsnake,gray ratsnake,Reptilia,reptile,gray ratsnake. reptile.,gray ratsnake,gray ratsnake,gray ratsnake|reptile
29317,Nerodia fasciata,Banded Watersnake,banded watersnake,Reptilia,reptile,banded watersnake. reptile.,banded watersnake,banded watersnake,banded watersnake|reptile
38671,Aspidoscelis tigris,Western Whiptail,western whiptail,Reptilia,reptile,western whiptail. reptile.,western whiptail,western whiptail,western whiptail|reptile
904170,Agkistrodon piscivorus,Northern Cottonmouth,northern cottonmouth,Reptilia,reptile,northern cottonmouth. reptile.,northern cottonmouth,northern cottonmouth,northern cottonmouth|reptile
28557,Storeria occipitomaculata,Red-bellied Snake,red bellied snake,Reptilia,reptile,red bellied snake. reptile.,red bellied snake,red bellied snake,red bellied snake|reptile
1544605,Terrapene triunguis,Three-toed Box Turtle,three toed box turtle,Reptilia,reptile,three toed box turtle. reptile.,three toed box turtle,three toed box turtle,three toed box turtle|reptile
29200,Opheodrys aestivus,Rough Greensnake,rough greensnake,Reptilia,reptile,rough greensnake. reptile.,rough greensnake,rough greensnake,rough greensnake|reptile
60349,Scincella lateralis,Little Brown Skink,little brown skink,Reptilia,reptile,little brown skink. reptile.,little brown skink,little brown skink,little brown skink|reptile
35900,Lacerta bilineata,Western Green Lizard,western green lizard,Reptilia,reptile,western green lizard. reptile.,western green lizard,western green lizard,western green lizard|reptile
39858,Graptemys geographica,Northern Map Turtle,northern map turtle,Reptilia,reptile,northern map turtle. reptile.,northern map turtle,northern map turtle,northern map turtle|reptile
36488,Anolis cristatellus,Crested Anole,crested anole,Reptilia,reptile,crested anole. reptile.,crested anole,crested anole,crested anole|reptile
34615,Gekko gecko,Tokay Gecko,tokay gecko,Reptilia,reptile,tokay gecko. reptile.,tokay gecko,tokay gecko,tokay gecko|reptile
28389,Thamnophis ordinoides,Northwestern Garter Snake,northwestern garter snake,Reptilia,reptile,northwestern garter snake. reptile.,northwestern garter snake,northwestern garter snake,northwestern garter snake|reptile
29310,Nerodia rhombifer,Diamondback Watersnake,diamondback watersnake,Reptilia,reptile,diamondback watersnake. reptile.,diamondback watersnake,diamondback watersnake,diamondback watersnake|reptile
